INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;6/12/2024;Chocolate MAPSA;Unidades;1;0;22600.00
Diciembre '24;6/12/2024;Portasobres;Unidades;2;0;5650.00
Diciembre '24;6/12/2024;Te Green Hills;Sobres;5;0;15000.00
Noviembre '24;27/11/2024;Chocolate MAPSA;Unidades;4;0;90400.00
Noviembre '24;27/11/2024;Te Green Hills;Sobres;1;0;3000.00
Noviembre '24;27/11/2024;Portasobres;Unidades;5;0;14125.00
Noviembre '24;14/11/2024;Portasobres;Unidades;2;0;5650.00
Noviembre '24;14/11/2024;Te Green Hills;Sobres;3;0;9000.00
Noviembre '24;14/11/2024;Chocolate MAPSA;Unidades;1;0;22600.00
Octubre '24;2/10/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Octubre '24;2/10/2024;Portasobres;Unidades;4;0;11300.00
Octubre '24;2/10/2024;Te Green Hills;Sobres;3;0;9000.00
Octubre '24;12/10/2024;Chocolate MAPSA;Unidades;4;0;90400.00
Octubre '24;12/10/2024;Portasobres;Unidades;1;0;2825.00
Octubre '24;12/10/2024;Te Green Hills;Sobres;5;0;15000.00
Noviembre '24;12/11/2024;Chocolate MAPSA;Unidades;5;0;113000.00
Noviembre '24;12/11/2024;Portasobres;Unidades;3;0;8475.00
Noviembre '24;12/11/2024;Te Green Hills;Sobres;5;0;15000.00
Octubre '24;20/10/2024;Portasobres;Unidades;4;0;11300.00
Octubre '24;20/10/2024;Te Green Hills;Sobres;3;0;9000.00
Octubre '24;20/10/2024;Chocolate MAPSA;Unidades;4;0;90400.00
Octubre '24;17/10/2024;Te Green Hills;Sobres;1;0;3000.00
Octubre '24;17/10/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Octubre '24;17/10/2024;Portasobres;Unidades;3;0;8475.00
Octubre '24;20/10/2024;Te Green Hills;Sobres;2;0;6000.00
Octubre '24;20/10/2024;Portasobres;Unidades;2;0;5650.00
Octubre '24;20/10/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Septiembre '24;26/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;26/9/2024;Chocolate MAPSA;Unidades;5;0;113000.00
Septiembre '24;26/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;25/9/2024;Chocolate MAPSA;Unidades;5;0;113000.00
Septiembre '24;25/9/2024;Te Green Hills;Sobres;1;0;3000.00
Septiembre '24;25/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;21/9/2024;Te Green Hills;Sobres;4;0;12000.00
Septiembre '24;21/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;21/9/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Septiembre '24;20/9/2024;Te Green Hills;Sobres;2;0;6000.00
Septiembre '24;20/9/2024;Chocolate MAPSA;Unidades;1;0;22600.00
Septiembre '24;20/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;16/9/2024;Chocolate MAPSA;Unidades;1;0;22600.00
Septiembre '24;16/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;16/9/2024;Te Green Hills;Sobres;1;0;3000.00
Septiembre '24;9/9/2024;Chocolate MAPSA;Unidades;5;0;113000.00
Septiembre '24;9/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;9/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;25/9/2024;Te Green Hills;Sobres;2;0;6000.00
Septiembre '24;25/9/2024;Chocolate MAPSA;Unidades;4;0;90400.00
Septiembre '24;25/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;13/9/2024;Chocolate MAPSA;Unidades;2;0;45200.00
Septiembre '24;13/9/2024;Te Green Hills;Sobres;5;0;15000.00
