INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;27/12/2024;Cafe Mezcla;Kilo;0;1;0.00
Noviembre '24;17/11/2024;Cafe Mezcla;Kilo;0;2;0.00
Noviembre '24;16/11/2024;Cafe Mezcla;Kilo;0;5;0.00
Noviembre '24;1/11/2024;Cafe Mezcla;Kilo;0;4;0.00
Octubre '24;23/10/2024;Cafe Mezcla;Kilo;0;1;0.00
Octubre '24;21/10/2024;Cafe Mezcla;Kilo;0;2;0.00
Octubre '24;5/10/2024;Cafe Mezcla;Kilo;0;4;0.00
Septiembre '24;27/9/2024;Cafe Mezcla;Kilo;0;5;0.00
Septiembre '24;20/9/2024;Cafe Mezcla;Kilo;0;3;0.00
Septiembre '24;20/9/2024;Cafe Mezcla;Kilo;0;1;0.00
Septiembre '24;1/9/2024;Cafe Mezcla;Kilo;0;4;0.00
Septiembre '24;26/9/2024;Cafe Mezcla;Kilo;0;2;0.00
Septiembre '24;19/9/2024;Cafe Mezcla;Kilo;0;4;0.00
Septiembre '24;19/9/2024;Cafe Mezcla;Kilo;0;2;0.00
Septiembre '24;13/9/2024;Cafe Mezcla;Kilo;0;1;0.00
Septiembre '24;24/9/2024;Cafe Mezcla;Kilo;0;1;0.00
Septiembre '24;1/9/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Septiembre '24;5/9/2024;Cafe Mezcla;Kilo;0;1;0.00
Septiembre '24;21/9/2024;Cafe Mezcla;Kilo;0;4;0.00
Septiembre '24;20/9/2024;Cafe Mezcla;Kilo;0;4;0.00
Diciembre '24;27/12/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Noviembre '24;17/11/2024;Chocolate MAPSA;Unidades;4;0;90400.00
Noviembre '24;16/11/2024;Chocolate MAPSA;Unidades;4;0;90400.00
Noviembre '24;1/11/2024;Chocolate MAPSA;Unidades;2;0;45200.00
Octubre '24;5/10/2024;Cafe Mezcla;Kilo;0;2;0.00
Septiembre '24;16/9/2024;Cafe Mezcla;Kilo;0;4;0.00
Septiembre '24;4/9/2024;Cafe Mezcla;Kilo;0;1;0.00
Octubre '24;23/10/2024;Chocolate MAPSA;Unidades;2;0;45200.00
Octubre '24;21/10/2024;Chocolate MAPSA;Unidades;2;0;45200.00
Septiembre '24;4/9/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Septiembre '24;4/9/2024;Portasobres;Unidades;1;0;2825.00
Octubre '24;5/10/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Octubre '24;5/10/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Octubre '24;8/10/2024;Cafe Mezcla;Kilo;0;1;0.00
Octubre '24;8/10/2024;Chocolate MAPSA;Unidades;1;0;22600.00
Septiembre '24;11/9/2024;Cafe Mezcla;Kilo;0;4;0.00
Septiembre '24;11/9/2024;Cafe Mezcla;Kilo;0;1;0.00
Septiembre '24;24/9/2024;Cafe Mezcla;Kilo;0;3;0.00
Septiembre '24;20/9/2024;Cafe Mezcla;Kilo;0;5;0.00
Septiembre '24;19/9/2024;Cafe Mezcla;Kilo;0;1;0.00
Septiembre '24;17/9/2024;Cafe Mezcla;Kilo;0;4;0.00
Septiembre '24;6/9/2024;Cafe Mezcla;Kilo;0;5;0.00
Agosto '24;27/8/2024;Cafe Mezcla;Kilo;0;3;0.00
Agosto '24;22/8/2024;Cafe Mezcla;Kilo;0;3;0.00
Agosto '24;21/8/2024;Cafe Mezcla;Kilo;0;2;0.00
Agosto '24;15/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Agosto '24;1/8/2024;Cafe Mezcla;Kilo;0;1;0.00
Agosto '24;20/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Agosto '24;17/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Agosto '24;16/8/2024;Cafe Mezcla;Kilo;0;4;0.00
Agosto '24;13/8/2024;Cafe Mezcla;Kilo;0;1;0.00
Agosto '24;1/8/2024;Cafe Mezcla;Kilo;0;4;0.00
Agosto '24;26/8/2024;Cafe Mezcla;Kilo;0;1;0.00
Agosto '24;24/8/2024;Cafe Mezcla;Kilo;0;4;0.00
Agosto '24;1/8/2024;Chocolate MAPSA;Unidades;5;0;113000.00
Agosto '24;1/8/2024;Portasobres;Unidades;1;0;2825.00
Agosto '24;6/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Agosto '24;7/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Agosto '24;27/8/2024;Cafe Mezcla;Kilo;0;3;0.00
Agosto '24;1/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Agosto '24;1/8/2024;Portasobres;Unidades;2;0;5650.00
Agosto '24;2/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Julio '24;19/7/2024;Cafe Mezcla;Kilo;0;1;0.00
Agosto '24;2/8/2024;Chocolate MAPSA;Unidades;4;0;90400.00
Agosto '24;2/8/2024;Portasobres;Unidades;1;0;2825.00
Agosto '24;3/8/2024;Cafe Mezcla;Kilo;0;3;0.00
Agosto '24;16/8/2024;Cafe Mezcla;Kilo;0;1;0.00
Agosto '24;3/8/2024;Chocolate MAPSA;Unidades;5;0;113000.00
Agosto '24;16/8/2024;Chocolate MAPSA;Unidades;1;0;22600.00
Agosto '24;1/8/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Agosto '24;3/8/2024;Portasobres;Unidades;4;0;11300.00
Agosto '24;6/8/2024;Chocolate MAPSA;Unidades;2;0;45200.00
Agosto '24;8/8/2024;Cafe Mezcla;Kilo;0;2;0.00
Agosto '24;8/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Agosto '24;8/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Julio '24;28/7/2024;Cafe Mezcla;Kilo;0;3;0.00
Julio '24;27/7/2024;Cafe Mezcla;Kilo;0;5;0.00
Agosto '24;8/8/2024;Chocolate MAPSA;Unidades;1;0;22600.00
Agosto '24;8/8/2024;Chocolate MAPSA;Unidades;4;0;90400.00
Agosto '24;8/8/2024;Chocolate MAPSA;Unidades;3;0;67800.00
Julio '24;28/7/2024;Chocolate MAPSA;Unidades;5;0;113000.00
Julio '24;27/7/2024;Chocolate MAPSA;Unidades;4;0;90400.00
Agosto '24;8/8/2024;Portasobres;Unidades;3;0;8475.00
Agosto '24;8/8/2024;Portasobres;Unidades;5;0;14125.00
Agosto '24;10/8/2024;Cafe Mezcla;Kilo;0;5;0.00
Julio '24;22/7/2024;Cafe Mezcla;Kilo;0;3;0.00
Julio '24;2/7/2024;Cafe Mezcla;Kilo;0;5;0.00
Julio '24;28/7/2024;Cafe Mezcla;Kilo;0;4;0.00
Julio '24;20/7/2024;Cafe Mezcla;Kilo;0;3;0.00
Julio '24;17/7/2024;Cafe Mezcla;Kilo;0;4;0.00
Julio '24;15/7/2024;Cafe Mezcla;Kilo;0;4;0.00
Julio '24;2/7/2024;Chocolate MAPSA;Unidades;2;0;45200.00
Julio '24;2/7/2024;Portasobres;Unidades;1;0;2825.00
Julio '24;3/7/2024;Cafe Mezcla;Kilo;0;3;0.00
Julio '24;16/7/2024;Cafe Mezcla;Kilo;0;5;0.00
Julio '24;2/7/2024;Cafe Mezcla;Kilo;0;4;0.00
