INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;20/12/2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Noviembre '24;19/11/2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Noviembre '24;3/11/2024;Cafe Mezcla;Kilo;0.00;2.00;0.00
Noviembre '24;17/11/2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Octubre '24;20/10/2024;Cafe Mezcla;Kilo;0.00;4.00;0.00
Octubre '24;17/10/2024;Cafe Mezcla;Kilo;0.00;4.00;0.00
Octubre '24;16/10/2024;Cafe Mezcla;Kilo;0.00;5.00;0.00
Octubre '24;2/10/2024;Cafe Mezcla;Kilo;0.00;2.00;0.00
Septiembre '24;21/9/2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Septiembre '24;11/9/2024;Cafe Mezcla;Kilo;0.00;5.00;0.00
Diciembre '24;20/12/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Noviembre '24;19/11/2024;Cafe Santos;Kilo;0.00;5.00;0.00
Noviembre '24;3/11/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Octubre '24;6/10/2024;Cafe Mezcla;Kilo;0.00;4.00;0.00
Septiembre '24;27/9/2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Septiembre '24;25/9/2024;Cafe Mezcla;Kilo;0.00;4.00;0.00
Septiembre '24;6/9/2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Septiembre '24;26/9/2024;Cafe Mezcla;Kilo;0.00;2.00;0.00
Septiembre '24;24/9/2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Septiembre '24;24/9/2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Septiembre '24;15/9/2024;Cafe Mezcla;Kilo;0.00;2.00;0.00
Septiembre '24;26/9/2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Septiembre '24;25/9/2024;Cafe Mezcla;Kilo;0.00;2.00;0.00
Septiembre '24;21/9/2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Septiembre '24;7/9/2024;Cafe Mezcla;Kilo;0.00;2.00;0.00
Septiembre '24;24/9/2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Septiembre '24;23/9/2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Septiembre '24;22/9/2024;Cafe Mezcla;Kilo;0.00;5.00;0.00
Septiembre '24;16/9/2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Septiembre '24;14/9/2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Agosto '24;26/8/2024;Cafe Mezcla;Kilo;0.00;2.00;0.00
Agosto '24;21/8/2024;Cafe Mezcla;Kilo;0.00;2.00;0.00
Agosto '24;20/8/2024;Cafe Mezcla;Kilo;0.00;5.00;0.00
Agosto '24;3/8/2024;Cafe Mezcla;Kilo;0.00;4.00;0.00
Agosto '24;3/8/2024;Cafe Mezcla;Kilo;0.00;2.00;0.00
Agosto '24;25/8/2024;Cafe Mezcla;Kilo;0.00;5.00;0.00
Agosto '24;23/8/2024;Cafe Mezcla;Kilo;0.00;5.00;0.00
Agosto '24;21/8/2024;Cafe Mezcla;Kilo;0.00;5.00;0.00
Agosto '24;14/8/2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Agosto '24;25/8/2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
