INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;28/12/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Noviembre '24;26/11/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Noviembre '24;19/11/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Noviembre '24;20/11/2024;Cafe Santos;Kilo;0.00;5.00;0.00
Octubre '24;27/10/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Agosto '24;1/8/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Agosto '24;1/8/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Agosto '24;1/8/2024;Te Green Hills;Sobres;3.00;0.00;9000.00
Octubre '24;1/10/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Agosto '24;2/8/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Agosto '24;4/8/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Octubre '24;6/10/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Septiembre '24;9/9/2024;Cafe Santos;Kilo;0.00;5.00;0.00
Julio '24;23/7/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Julio '24;23/7/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Agosto '24;2/8/2024;Portasobres;Unidades;5.00;0.00;14125.00
Agosto '24;2/8/2024;Te Green Hills;Sobres;5.00;0.00;15000.00
Agosto '24;4/8/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Agosto '24;4/8/2024;Portasobres;Unidades;2.00;0.00;5650.00
Agosto '24;4/8/2024;Te Green Hills;Sobres;1.00;0.00;3000.00
Agosto '24;6/8/2024;Portasobres;Unidades;5.00;0.00;14125.00
Septiembre '24;9/9/2024;Portasobres;Unidades;2.00;0.00;5650.00
Septiembre '24;9/9/2024;Te Green Hills;Sobres;5.00;0.00;15000.00
Septiembre '24;10/9/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Octubre '24;10/10/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Septiembre '24;27/9/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Septiembre '24;19/9/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Septiembre '24;17/9/2024;Cafe Santos;Kilo;0.00;5.00;0.00
