INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;22/12/2024;Portasobres;Unidades;2;0;5650.00
Diciembre '24;22/12/2024;Cafe Mezcla;Kilo;0;5;0.00
Diciembre '24;22/12/2024;Mate Natura;Sobres;2;0;6780.00
Noviembre '24;21/11/2024;Portasobres;Unidades;5;0;14125.00
Noviembre '24;21/11/2024;Mate Natura;Sobres;3;0;10170.00
Noviembre '24;21/11/2024;Cafe Mezcla;Kilo;0;4;0.00
Noviembre '24;4/11/2024;Cafe Mezcla;Kilo;0;2;0.00
Noviembre '24;4/11/2024;Mate Natura;Sobres;1;0;3390.00
Noviembre '24;4/11/2024;Portasobres;Unidades;5;0;14125.00
Noviembre '24;5/11/2024;Cafe Mezcla;Kilo;0;5;0.00
Noviembre '24;5/11/2024;Mate Natura;Sobres;2;0;6780.00
Noviembre '24;5/11/2024;Portasobres;Unidades;1;0;2825.00
Octubre '24;24/10/2024;Cafe Mezcla;Kilo;0;5;0.00
Octubre '24;24/10/2024;Portasobres;Unidades;3;0;8475.00
Octubre '24;24/10/2024;Mate Natura;Sobres;2;0;6780.00
Octubre '24;20/10/2024;Mate Natura;Sobres;3;0;10170.00
Octubre '24;20/10/2024;Cafe Mezcla;Kilo;0;5;0.00
Octubre '24;20/10/2024;Portasobres;Unidades;3;0;8475.00
Octubre '24;13/10/2024;Portasobres;Unidades;2;0;5650.00
Octubre '24;13/10/2024;Mate Natura;Sobres;3;0;10170.00
Octubre '24;13/10/2024;Cafe Mezcla;Kilo;0;4;0.00
Octubre '24;19/10/2024;Portasobres;Unidades;2;0;5650.00
Octubre '24;19/10/2024;Cafe Mezcla;Kilo;0;5;0.00
Octubre '24;19/10/2024;Mate Natura;Sobres;1;0;3390.00
Octubre '24;17/10/2024;Portasobres;Unidades;5;0;14125.00
Octubre '24;17/10/2024;Mate Natura;Sobres;2;0;6780.00
Octubre '24;17/10/2024;Cafe Mezcla;Kilo;0;5;0.00
Septiembre '24;26/9/2024;Portasobres;Unidades;5;0;14125.00
