INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;20/12/2024;Chocolate MAPSA;Unidades;1.00;0.00;22600.00
Noviembre '24;25/11/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Septiembre '24;1/9/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Noviembre '24;1/11/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Octubre '24;2/10/2024;Mate Natura;Sobres;3.00;0.00;10170.00
Noviembre '24;10/11/2024;Chocolate MAPSA;Unidades;1.00;0.00;22600.00
Octubre '24;18/10/2024;Chocolate MAPSA;Unidades;3.00;0.00;67800.00
Octubre '24;14/10/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Octubre '24;2/10/2024;Chocolate MAPSA;Unidades;5.00;0.00;113000.00
Octubre '24;8/10/2024;Chocolate MAPSA;Unidades;3.00;0.00;67800.00
Septiembre '24;26/9/2024;Chocolate MAPSA;Unidades;5.00;0.00;113000.00
Septiembre '24;26/9/2024;Chocolate MAPSA;Unidades;1.00;0.00;22600.00
Septiembre '24;24/9/2024;Chocolate MAPSA;Unidades;4.00;0.00;90400.00
Septiembre '24;19/9/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Septiembre '24;26/9/2024;Chocolate MAPSA;Unidades;4.00;0.00;90400.00
Septiembre '24;23/9/2024;Chocolate MAPSA;Unidades;1.00;0.00;22600.00
Septiembre '24;20/9/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Septiembre '24;1/9/2024;Mate Natura;Sobres;3.00;0.00;10170.00
Septiembre '24;1/9/2024;Portasobres;Unidades;3.00;0.00;8475.00
Septiembre '24;2/9/2024;Chocolate MAPSA;Unidades;4.00;0.00;90400.00
Septiembre '24;26/9/2024;Chocolate MAPSA;Unidades;4.00;0.00;90400.00
Diciembre '24;20/12/2024;Mate Natura;Sobres;4.00;0.00;13560.00
Noviembre '24;25/11/2024;Mate Natura;Sobres;5.00;0.00;16950.00
Noviembre '24;1/11/2024;Mate Natura;Sobres;1.00;0.00;3390.00
Septiembre '24;2/9/2024;Mate Natura;Sobres;5.00;0.00;16950.00
Septiembre '24;2/9/2024;Portasobres;Unidades;4.00;0.00;11300.00
Octubre '24;2/10/2024;Portasobres;Unidades;3.00;0.00;8475.00
Septiembre '24;3/9/2024;Chocolate MAPSA;Unidades;4.00;0.00;90400.00
Septiembre '24;3/9/2024;Mate Natura;Sobres;4.00;0.00;13560.00
Septiembre '24;3/9/2024;Portasobres;Unidades;2.00;0.00;5650.00
Septiembre '24;5/9/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Septiembre '24;5/9/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
