INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;10/12/2024;Cafe Santos;Kilo;0;2;0.00
Diciembre '24;10/12/2024;Mate Natura;Sobres;4;0;13560.00
Diciembre '24;10/12/2024;Portasobres;Unidades;1;0;2825.00
Noviembre '24;20/11/2024;Portasobres;Unidades;2;0;5650.00
Noviembre '24;20/11/2024;Mate Natura;Sobres;2;0;6780.00
Noviembre '24;20/11/2024;Cafe Santos;Kilo;0;4;0.00
Noviembre '24;15/11/2024;Cafe Santos;Kilo;0;3;0.00
Noviembre '24;15/11/2024;Mate Natura;Sobres;2;0;6780.00
Noviembre '24;15/11/2024;Portasobres;Unidades;5;0;14125.00
Octubre '24;5/10/2024;Cafe Santos;Kilo;0;5;0.00
Octubre '24;5/10/2024;Cafe Santos;Kilo;0;5;0.00
Octubre '24;5/10/2024;Mate Natura;Sobres;2;0;6780.00
Octubre '24;5/10/2024;Mate Natura;Sobres;5;0;16950.00
Octubre '24;5/10/2024;Portasobres;Unidades;4;0;11300.00
Octubre '24;5/10/2024;Portasobres;Unidades;1;0;2825.00
Octubre '24;6/10/2024;Cafe Santos;Kilo;0;2;0.00
Octubre '24;6/10/2024;Mate Natura;Sobres;4;0;13560.00
Octubre '24;6/10/2024;Portasobres;Unidades;5;0;14125.00
Octubre '24;7/10/2024;Cafe Santos;Kilo;0;5;0.00
Octubre '24;7/10/2024;Mate Natura;Sobres;4;0;13560.00
Octubre '24;7/10/2024;Portasobres;Unidades;4;0;11300.00
Noviembre '24;12/11/2024;Cafe Santos;Kilo;0;3;0.00
Noviembre '24;12/11/2024;Mate Natura;Sobres;2;0;6780.00
Noviembre '24;12/11/2024;Portasobres;Unidades;1;0;2825.00
Octubre '24;23/10/2024;Cafe Santos;Kilo;0;5;0.00
Octubre '24;23/10/2024;Portasobres;Unidades;5;0;14125.00
Octubre '24;23/10/2024;Mate Natura;Sobres;3;0;10170.00
Septiembre '24;28/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;28/9/2024;Mate Natura;Sobres;5;0;16950.00
Septiembre '24;28/9/2024;Cafe Santos;Kilo;0;5;0.00
Septiembre '24;28/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;28/9/2024;Cafe Santos;Kilo;0;2;0.00
Septiembre '24;28/9/2024;Mate Natura;Sobres;2;0;6780.00
Septiembre '24;23/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;23/9/2024;Mate Natura;Sobres;5;0;16950.00
Septiembre '24;23/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;22/9/2024;Mate Natura;Sobres;3;0;10170.00
Septiembre '24;22/9/2024;Cafe Santos;Kilo;0;2;0.00
Septiembre '24;22/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;21/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;21/9/2024;Mate Natura;Sobres;2;0;6780.00
Septiembre '24;21/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;16/9/2024;Cafe Santos;Kilo;0;3;0.00
Septiembre '24;16/9/2024;Mate Natura;Sobres;5;0;16950.00
Septiembre '24;16/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;7/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;7/9/2024;Mate Natura;Sobres;3;0;10170.00
Septiembre '24;7/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;28/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;28/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;28/9/2024;Mate Natura;Sobres;5;0;16950.00
Septiembre '24;28/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;28/9/2024;Cafe Santos;Kilo;0;2;0.00
Septiembre '24;28/9/2024;Mate Natura;Sobres;3;0;10170.00
Septiembre '24;23/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;23/9/2024;Mate Natura;Sobres;2;0;6780.00
Septiembre '24;23/9/2024;Cafe Santos;Kilo;0;2;0.00
Septiembre '24;17/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;17/9/2024;Mate Natura;Sobres;3;0;10170.00
Septiembre '24;17/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;13/9/2024;Cafe Santos;Kilo;0;3;0.00
Septiembre '24;13/9/2024;Mate Natura;Sobres;3;0;10170.00
Septiembre '24;13/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;11/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;11/9/2024;Mate Natura;Sobres;1;0;3390.00
Septiembre '24;11/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;27/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;27/9/2024;Mate Natura;Sobres;4;0;13560.00
Septiembre '24;27/9/2024;Cafe Santos;Kilo;0;3;0.00
Septiembre '24;18/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;18/9/2024;Mate Natura;Sobres;5;0;16950.00
Septiembre '24;18/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;17/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;17/9/2024;Cafe Santos;Kilo;0;5;0.00
Septiembre '24;17/9/2024;Mate Natura;Sobres;3;0;10170.00
Septiembre '24;13/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;13/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;13/9/2024;Mate Natura;Sobres;5;0;16950.00
Septiembre '24;5/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;5/9/2024;Mate Natura;Sobres;4;0;13560.00
Septiembre '24;5/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;12/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;12/9/2024;Mate Natura;Sobres;5;0;16950.00
Septiembre '24;12/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;23/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;23/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;23/9/2024;Mate Natura;Sobres;5;0;16950.00
Septiembre '24;23/9/2024;Mate Natura;Sobres;1;0;3390.00
Septiembre '24;23/9/2024;Cafe Santos;Kilo;0;2;0.00
Septiembre '24;23/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;22/9/2024;Cafe Santos;Kilo;0;2;0.00
Septiembre '24;22/9/2024;Mate Natura;Sobres;4;0;13560.00
Septiembre '24;22/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;19/9/2024;Mate Natura;Sobres;3;0;10170.00
Septiembre '24;19/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;19/9/2024;Cafe Santos;Kilo;0;2;0.00
Septiembre '24;18/9/2024;Mate Natura;Sobres;5;0;16950.00
Septiembre '24;18/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;18/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;8/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;8/9/2024;Mate Natura;Sobres;2;0;6780.00
Septiembre '24;8/9/2024;Portasobres;Unidades;5;0;14125.00
Agosto '24;24/8/2024;Portasobres;Unidades;3;0;8475.00
Agosto '24;24/8/2024;Mate Natura;Sobres;4;0;13560.00
Agosto '24;24/8/2024;Cafe Santos;Kilo;0;2;0.00
Agosto '24;23/8/2024;Cafe Santos;Kilo;0;3;0.00
Agosto '24;23/8/2024;Mate Natura;Sobres;1;0;3390.00
Agosto '24;23/8/2024;Portasobres;Unidades;5;0;14125.00
Agosto '24;21/8/2024;Mate Natura;Sobres;1;0;3390.00
Agosto '24;21/8/2024;Cafe Santos;Kilo;0;3;0.00
Agosto '24;21/8/2024;Portasobres;Unidades;2;0;5650.00
Agosto '24;18/8/2024;Mate Natura;Sobres;4;0;13560.00
Agosto '24;18/8/2024;Cafe Santos;Kilo;0;2;0.00
Agosto '24;18/8/2024;Portasobres;Unidades;4;0;11300.00
Agosto '24;1/8/2024;Cafe Santos;Kilo;0;1;0.00
Agosto '24;1/8/2024;Mate Natura;Sobres;4;0;13560.00
Agosto '24;1/8/2024;Portasobres;Unidades;2;0;5650.00
Agosto '24;3/8/2024;Cafe Santos;Kilo;0;2;0.00
Agosto '24;3/8/2024;Mate Natura;Sobres;5;0;16950.00
Agosto '24;3/8/2024;Portasobres;Unidades;3;0;8475.00
Agosto '24;7/8/2024;Cafe Santos;Kilo;0;1;0.00
Agosto '24;7/8/2024;Cafe Santos;Kilo;0;3;0.00
Agosto '24;7/8/2024;Mate Natura;Sobres;4;0;13560.00
Agosto '24;7/8/2024;Mate Natura;Sobres;3;0;10170.00
Agosto '24;7/8/2024;Portasobres;Unidades;3;0;8475.00
Agosto '24;7/8/2024;Portasobres;Unidades;5;0;14125.00
Agosto '24;8/8/2024;Cafe Santos;Kilo;0;4;0.00
Agosto '24;8/8/2024;Mate Natura;Sobres;1;0;3390.00
Agosto '24;8/8/2024;Portasobres;Unidades;5;0;14125.00
Agosto '24;10/8/2024;Cafe Santos;Kilo;0;1;0.00
Agosto '24;10/8/2024;Mate Natura;Sobres;3;0;10170.00
Agosto '24;10/8/2024;Portasobres;Unidades;1;0;2825.00
Agosto '24;11/8/2024;Cafe Santos;Kilo;0;5;0.00
Agosto '24;11/8/2024;Mate Natura;Sobres;1;0;3390.00
Agosto '24;11/8/2024;Portasobres;Unidades;4;0;11300.00
