INFORME DE VENTAS TOTALES;Período: 1/9/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;12-12-2024;Portasobres;Unidades;2.00;0.00;5650.00
Diciembre '24;12-12-2024;Cafe Santos;Kilo;0.00;5.00;0.00
Diciembre '24;12-12-2024;Cafe Mezcla;Kilo;0.00;4.00;0.00
Noviembre '24;13-11-2024;Cafe Santos;Kilo;0.00;5.00;0.00
Noviembre '24;13-11-2024;Portasobres;Unidades;3.00;0.00;8475.00
Noviembre '24;13-11-2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Noviembre '24;08-11-2024;Cafe Santos;Kilo;0.00;5.00;0.00
Noviembre '24;08-11-2024;Portasobres;Unidades;2.00;0.00;5650.00
Noviembre '24;08-11-2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Noviembre '24;08-11-2024;Portasobres;Unidades;1.00;0.00;2825.00
Noviembre '24;08-11-2024;Cafe Mezcla;Kilo;0.00;5.00;0.00
Noviembre '24;08-11-2024;Cafe Santos;Kilo;0.00;4.00;0.00
Octubre '24;27-10-2024;Cafe Mezcla;Kilo;0.00;4.00;0.00
Octubre '24;27-10-2024;Portasobres;Unidades;4.00;0.00;11300.00
Octubre '24;27-10-2024;Cafe Santos;Kilo;0.00;4.00;0.00
Octubre '24;02-10-2024;Portasobres;Unidades;2.00;0.00;5650.00
Octubre '24;02-10-2024;Cafe Mezcla;Kilo;0.00;3.00;0.00
Octubre '24;02-10-2024;Cafe Santos;Kilo;0.00;4.00;0.00
Octubre '24;26-10-2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Octubre '24;26-10-2024;Portasobres;Unidades;2.00;0.00;5650.00
Octubre '24;26-10-2024;Cafe Santos;Kilo;0.00;1.00;0.00
Octubre '24;11-10-2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Octubre '24;11-10-2024;Portasobres;Unidades;5.00;0.00;14125.00
Octubre '24;11-10-2024;Cafe Santos;Kilo;0.00;5.00;0.00
Octubre '24;25-10-2024;Cafe Santos;Kilo;0.00;2.00;0.00
Octubre '24;25-10-2024;Portasobres;Unidades;3.00;0.00;8475.00
Octubre '24;25-10-2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Septiembre '24;27-09-2024;Portasobres;Unidades;1.00;0.00;2825.00
Septiembre '24;27-09-2024;Cafe Mezcla;Kilo;0.00;1.00;0.00
Septiembre '24;27-09-2024;Cafe Santos;Kilo;0.00;5.00;0.00
Septiembre '24;18-09-2024;Portasobres;Unidades;4.00;0.00;11300.00
Septiembre '24;18-09-2024;Cafe Mezcla;Kilo;0.00;4.00;0.00
Septiembre '24;18-09-2024;Cafe Santos;Kilo;0.00;1.00;0.00
Septiembre '24;09-09-2024;Portasobres;Unidades;2.00;0.00;5650.00
Septiembre '24;09-09-2024;Cafe Mezcla;Kilo;0.00;4.00;0.00
Septiembre '24;09-09-2024;Cafe Santos;Kilo;0.00;1.00;0.00
Septiembre '24;07-09-2024;Cafe Santos;Kilo;0.00;3.00;0.00
Septiembre '24;07-09-2024;Cafe Mezcla;Kilo;0.00;5.00;0.00
