INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;25/12/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Noviembre '24;21/11/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Noviembre '24;1/11/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Septiembre '24;2/9/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Noviembre '24;6/11/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Octubre '24;28/10/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Octubre '24;16/10/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Octubre '24;19/10/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Octubre '24;18/10/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Octubre '24;16/10/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Septiembre '24;27/9/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Septiembre '24;13/9/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Septiembre '24;2/9/2024;Chocolate MAPSA;Unidades;1.00;0.00;22600.00
Septiembre '24;2/9/2024;Portasobres;Unidades;1.00;0.00;2825.00
Septiembre '24;5/9/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Septiembre '24;25/9/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Septiembre '24;24/9/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Septiembre '24;20/9/2024;Cafe Santos;Kilo;0.00;5.00;0.00
Septiembre '24;15/9/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Septiembre '24;4/9/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Septiembre '24;6/9/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Septiembre '24;25/9/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Septiembre '24;23/9/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Septiembre '24;17/9/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Septiembre '24;17/9/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Diciembre '24;25/12/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Noviembre '24;21/11/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Noviembre '24;1/11/2024;Chocolate MAPSA;Unidades;3.00;0.00;67800.00
Septiembre '24;3/9/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Septiembre '24;23/9/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Septiembre '24;18/9/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Septiembre '24;17/9/2024;Cafe Santos;Kilo;0.00;5.00;0.00
Septiembre '24;14/9/2024;Cafe Santos;Kilo;0.00;2.00;0.00
Agosto '24;28/8/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Agosto '24;27/8/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Agosto '24;25/8/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Agosto '24;16/8/2024;Cafe Santos;Kilo;0.00;3.00;0.00
Agosto '24;15/8/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Noviembre '24;6/11/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Agosto '24;7/8/2024;Cafe Santos;Kilo;0.00;5.00;0.00
Agosto '24;27/8/2024;Cafe Santos;Kilo;0.00;1.00;0.00
Agosto '24;23/8/2024;Cafe Santos;Kilo;0.00;4.00;0.00
Agosto '24;23/8/2024;Cafe Santos;Kilo;0.00;5.00;0.00
Agosto '24;18/8/2024;Cafe Santos;Kilo;0.00;5.00;0.00
